iata,name,lat,lon,country,
ROP,Rota International Airport,14.17435,145.241104,Northern Mariana Islands,
ROZ,Rota Naval Station Airport,36.645199,-6.34946,Spain,
QCX,Rotenburg Wumme Airport,53.128338,9.348345,Germany,
QAR,Rothera Air Facility,-67.567612,-68.127083,Antarctica,
RTI,Roti David C. Saudale Airport,-10.767597,123.073303,Indonesia,
ROT,Rotorua International Airport,-38.1091,176.3172,New Zealand,
RTM,Rotterdam The Hague Airport,51.95694,4.437222,Netherlands,
RTS,Rottnest Island Airport,-32.006699,115.540001,Australia,
RTA,Rotuma Airport,-12.4825,177.071106,Fiji,
URO,Rouen Airport,49.390831,1.183889,France,
ZRJ,Round Lake Airport,52.950001,-91.316666,Canada,
RRK,Rourkela Airport,22.256552,84.814903,India,
YUY,Rouyn-Noranda Airport,48.206108,-78.835503,Canada,
RVN,Rovaniemi Airport,66.562805,25.82658,Finland,
RXS,Roxas City Airport,11.60066,122.748817,Philippines,
RYN,Royan Medis Airport,45.631161,-0.97548,France,
RBY,Ruby Airport,64.730003,-155.460831,United States,
GTI,Rugen Airport,54.383331,13.325556,Germany,
RUI,Ruidoso Sierra Blanca Regional Airport,33.462776,-105.534721,United States,
RBX,Rumbek Airport,6.831093,29.669044,South Sudan,
